Year,State,Ethnicity,Grade,Enrollment,Dropout
2002,new jersey,Black,11,14369,447
2002,new mexico,Black,11,516,26
2002,new york,Black,11,29044,4202
2002,north carolina,Black,11,23895,1433
2002,north dakota,Black,11,66,2
2002,ohio,Black,11,16975,1272
2002,oklahoma,Black,11,4051,256
2002,oregon,Black,11,1066,0
2002,pennsylvania,Black,11,16750,0
2002,rhode island,Black,11,804,57
2002,south carolina,Black,11,15033,482
2002,south dakota,Black,11,143,11
2002,tennessee,Black,11,0,0
2002,texas,Black,11,36490,1648
2002,utah,Black,11,333,34
2002,vermont,Black,11,0,0
2002,virginia,Black,11,18376,724
2002,washington,Black,11,3689,358
2002,west virginia,Black,11,773,43
2002,wisconsin,Black,11,4741,434
2002,wyoming,Black,11,58,5
2002,american samoa,Black,11,0,0
2002,guam,Black,11,0,0
2002,northern marianas,Black,11,0,0
2002,puerto rico,Black,11,0,0
2002,virgin islands,Black,11,0,0
2002,alabama,White,11,29096,1242
2002,alaska,White,11,5858,347
2002,arizona,White,11,36607,2137
2002,arkansas,White,11,23311,1347
2002,california,White,11,169352,3093
2002,colorado,White,11,37581,1159
2002,connecticut,White,11,28503,532
2002,delaware,White,11,5118,193
2002,district of columbia,White,11,0,0
2002,florida,White,11,88256,2189
2002,georgia,White,11,51520,3092
2002,hawaii,White,11,2494,158
2002,idaho,White,11,16204,655
2002,illinois,White,11,92430,4196
2002,indiana,White,11,58584,1406
2002,iowa,White,11,35497,813
2002,kansas,White,11,28971,753
2002,kentucky,White,11,37815,1395
2002,louisiana,White,11,23800,1213
2002,maine,White,11,14858,526
2002,maryland,White,11,32856,989
2002,massachusetts,White,11,51908,1422
2002,michigan,White,11,96705,3272
2002,minnesota,White,11,58007,1615
2002,mississippi,White,11,14892,543
2002,missouri,White,11,53368,2080
2002,montana,White,11,10571,422
2002,nebraska,White,11,18913,492
2002,nevada,White,11,12839,484
2002,new hampshire,White,11,14672,647
2002,new jersey,White,11,58396,887
2002,new mexico,White,11,8467,313
2002,new york,White,11,113043,4004
2002,north carolina,White,11,54800,2930
2002,north dakota,White,11,7929,157
2002,ohio,White,11,110666,2867
2002,oklahoma,White,11,28150,1116
2002,oregon,White,11,33638,0
2002,pennsylvania,White,11,112174,0
2002,rhode island,White,11,8257,296
2002,south carolina,White,11,23069,693
2002,south dakota,White,11,9066,271
2002,tennessee,White,11,0,0
2002,texas,White,11,125804,2952
2002,utah,White,11,31689,872
2002,vermont,White,11,0,0
2002,virginia,White,11,52086,1063
2002,washington,White,11,58801,3104
2002,west virginia,White,11,18683,742
